"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Training is at the heart of organizing. It’s why I’ve always made it a priority – from my 2008 campaign until now.… https://t.co/KMSmanB2OK",FALSE,22042,NA,2019-08-26 19:21:34,TRUE,NA,"1166068183289253889",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",4278,FALSE,FALSE,NA,NA
"With summer winding down, here’s a sampling of what Michelle and I have been listening to — some new, some old, som… https://t.co/f41MILYSBr",FALSE,691799,NA,2019-08-24 15:35:56,TRUE,NA,"1165286625208950784",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",114743,FALSE,FALSE,NA,NA
"A good story gives you the chance to better understand someone else’s life. It can help you find common ground. And… https://t.co/cDU3IJN1nq",FALSE,129107,NA,2019-08-21 15:09:56,TRUE,NA,"1164192919047299072",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","BarackObama",23332,FALSE,FALSE,NA,NA
"Toni Morrison was a national treasure, as good a storyteller, as captivating, in person as she was on the page. Her… https://t.co/859oLQ94Ta",FALSE,354374,NA,2019-08-06 15:40:43,TRUE,NA,"1158764847800213507",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",52913,FALSE,FALSE,NA,NA
"Until all of us stand up and insist on holding public officials accountable for changing our gun laws, these traged… https://t.co/QO6QOjix7M",FALSE,169130,"BarackObama",2019-08-05 19:02:32,TRUE,"1158453079035002881","1158453251337007106","813286","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",32469,FALSE,FALSE,NA,NA
"https://t.co/nNOVtQ50O4",FALSE,1013408,NA,2019-08-05 19:01:51,FALSE,NA,"1158453079035002881",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",295243,FALSE,FALSE,NA,NA
"The families of our wounded warriors don't often get a lot of fanfare, but they're serving and sacrificing right al… https://t.co/dNQIaG7WAA",FALSE,151218,NA,2019-08-01 19:52:19,TRUE,NA,"1157016227681918981",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",21977,FALSE,FALSE,NA,NA
"Recent court decisions make it clear that the change we need to restore our democracy has to come from the ground u… https://t.co/iAsd5KCAdM",FALSE,32849,NA,2019-07-31 17:32:01,TRUE,NA,"1156618530814603266",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",6701,FALSE,FALSE,NA,NA
"Here’s a worthwhile Sunday read: “…nothing should temper partisanship more than an awareness that somewhere, on som… https://t.co/XSbZhrhvcT",FALSE,61557,NA,2019-07-28 18:19:19,TRUE,NA,"1155543273005600768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",11418,FALSE,FALSE,NA,NA
"I’ve always been proud of what this team accomplished during my administration. But more than what we did, I’m prou… https://t.co/b7pswCxgE1",FALSE,180001,NA,2019-07-27 18:01:42,TRUE,NA,"1155176452112994306",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",33724,FALSE,FALSE,NA,NA
"RT @ObamaFoundation: Leaders: Africa may have ended, but 200 inspiring #ObamaLeaders returned to their homes with the new connections and f…",FALSE,0,NA,2019-07-25 21:12:09,FALSE,NA,"1154499602768420875",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",1510,TRUE,FALSE,NA,NA
"Economist Raj Chetty is not only identifying the decline in opportunity we’ve seen in recent decades—but trying to… https://t.co/aVvBp3i2Ey",FALSE,24610,"BarackObama",2019-07-23 21:03:01,TRUE,"1153772394332512256","1153772529271615488","813286","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",4120,FALSE,FALSE,NA,NA
"Here are a couple of articles backed by new research that are worth taking a look at: A new study on the Medicaid e… https://t.co/ZxoqspJKRA",FALSE,64113,NA,2019-07-23 21:02:29,TRUE,NA,"1153772394332512256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",13551,FALSE,FALSE,NA,NA
"In America, we don’t fear the future, we embrace it. 50 years ago, that spirit took us to the moon. Today, it’s emb… https://t.co/dWqbdzNq83",FALSE,120625,NA,2019-07-20 14:40:10,TRUE,NA,"1152589017583685632",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",17737,FALSE,FALSE,NA,NA
